"","cell","proj_id","treatment","mark","rep","desc","prog","dlink","urltex"
"19","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00019&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00019"
"20","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00020&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00020"
"21","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00021&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00021"
"22","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00022&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00022"
"23","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00023&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00023"
"24","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00024&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00024"
"25","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00025&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00025"
"26","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00026&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00026"
"27","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00027&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00027"
"28","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00028&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00028"
"29","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00029&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00029"
"30","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00030&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00030"
"31","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00031&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00031"
"32","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00032&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00032"
"33","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00033&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00033"
"34","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00034&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00034"
"35","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00035&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00035"
"36","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00036&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00036"
"37","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00037&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00037"
"38","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00038&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00038"
"39","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00039&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00039"
"40","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00040&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00040"
"41","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00041&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00041"
"42","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00042&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00042"
"43","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00043&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00043"
"44","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00044&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00044"
"45","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00045&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00045"
"46","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00046&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00046"
"47","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00047&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00047"
"48","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00048&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00048"
"49","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00049&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00049"
"50","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00050&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00050"
"51","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00051&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00051"
"52","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00052&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00052"
"53","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00053&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00053"
"54","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00054&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00054"
"55","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00055&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00055"
"56","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00056&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00056"
"57","DMCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedMesendodermCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00057&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00057"
"58","DTCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedTrophoblastCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00058&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00058"
"59","DTCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedTrophoblastCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00059&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00059"
"60","DTCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedTrophoblastCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00060&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00060"
"61","DTCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedTrophoblastCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00061&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00061"
"62","DTCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedTrophoblastCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00062&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00062"
"63","DTCs","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1BMP4DerivedTrophoblastCulturedCells","ESCDerived","CL","UCSD-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00063&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00063"
